                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.69304,                0.63325,                 1.0961,                 0.6327,                0.41772,                0.43468,                0.18176,                 1.9584,                  1.972,                 2.4372,             0.00065079,             0.00065079,             0.00065079
                      1,                0.70756,                0.61032,                  1.095,                0.51799,                0.34177,                0.32929,                0.13014,                 2.3173,                 2.3828,                 2.8069,              0.0013012,              0.0013012,              0.0013012
                      2,                0.80561,                0.70069,                 1.1528,                0.39872,                0.35443,                0.30624,                0.11031,                 2.2866,                 3.3167,                 2.6391,               0.001935,               0.001935,               0.001935
                      3,                0.85972,                0.75341,                 1.1848,                0.45683,                0.24051,                0.22106,                0.09117,                 2.7695,                 3.2455,                 3.2781,              0.0019258,              0.0019258,              0.0019258
                      4,                0.85007,                0.79262,                 1.1902,                0.71562,                0.34177,                 0.3911,                0.18707,                 1.8043,                 1.8889,                 2.1784,              0.0019258,              0.0019258,              0.0019258
                      5,                0.84755,                0.73901,                 1.1819,                0.59079,                0.36553,                0.34094,                0.15159,                 1.9295,                 2.3997,                  2.103,               0.001901,               0.001901,               0.001901
                      6,                0.82971,                0.75621,                 1.1788,                0.61605,                0.29114,                0.31972,                0.12497,                 2.2895,                 2.6685,                  2.861,              0.0018763,              0.0018763,              0.0018763
                      7,                0.83531,                0.74703,                 1.1717,                 0.6072,                0.35443,                0.36557,                0.13092,                 2.2136,                 2.9569,                  2.533,              0.0018515,              0.0018515,              0.0018515
                      8,                0.84459,                 0.7587,                 1.1818,                0.66001,                0.39319,                0.40835,                 0.1569,                  2.105,                 1.9174,                 2.3096,              0.0018267,              0.0018267,              0.0018267
                      9,                0.85419,                0.74316,                 1.1858,                0.43406,                0.31646,                0.30739,                0.13461,                 1.9058,                 2.2877,                 2.2518,               0.001802,               0.001802,               0.001802
                     10,                0.82773,                0.73206,                 1.1778,                0.45681,                0.35443,                0.33173,                 0.1351,                 1.7826,                 2.1834,                 2.0654,              0.0017772,              0.0017772,              0.0017772
                     11,                0.82204,                0.70208,                 1.1667,                0.59952,                0.32911,                0.37912,                0.17126,                 2.1849,                 2.1854,                 2.5143,              0.0017525,              0.0017525,              0.0017525
                     12,                0.80953,                0.69905,                   1.16,                0.58581,                0.31646,                0.34446,                0.15665,                 2.0714,                 2.6768,                 2.3155,              0.0017278,              0.0017278,              0.0017278
                     13,                0.80583,                0.71525,                 1.1612,                0.56147,                0.37975,                0.39332,                0.15743,                 1.8614,                 2.1845,                 2.1225,               0.001703,               0.001703,               0.001703
                     14,                0.82383,                0.71955,                  1.153,                0.55747,                0.37975,                0.35849,                0.12934,                 2.2264,                 2.1244,                  2.437,              0.0016783,              0.0016783,              0.0016783
